case_name,success,seconds,error
suite_i_facts_4bus_remote_group.raw,1,9.8231053,
suite_i_facts_pqbrak_remote_limit.raw,1,4.6558158,
suite_i_genq_flatst1_qmax.raw,1,1.2650133,
suite_i_genq_nondiv1_qmin.raw,1,0.6235323,
suite_i_genq_varlim0_remote_group.raw,1,1.1412038,
suite_i_pqbrak_genq_remote_single.raw,1,1.4962797,
suite_i_solver_all_options_3bus.raw,1,0.2817931,
suite_i_swdev_open_parallel_pqbrak.raw,1,1.029702,
suite_i_swdev_tight_thrshz_closed.raw,1,0.3486931,
suite_i_swshnt_flatst1_continuous.raw,1,1.6846355,
suite_i_swshnt_pqbrak_remote_group.raw,1,1.2433297,
suite_i_twodc_dctaps0_active.raw,1,2.7934505,
suite_i_twodc_varlim1_loss.raw,1,2.0781569,
suite_i_ultc_10bus_sign_matrix.raw,1,1.1848875,
suite_i_ultc_multi_2w_shared.raw,1,0.4686403,
suite_i_ultc_multi_3w_cw2_shared.raw,1,0.5061492,
suite_i_ultc_nondiv1_local.raw,1,0.7870306,
suite_i_ultc_varlim1_remote_limit.raw,1,0.530868,
suite_m_integrated_14bus_dctaps0.raw,1,109.1911903,
suite_m_integrated_14bus_flatst1.raw,1,91.6907488,
suite_m_integrated_14bus_nominal.raw,1,83.7409425,
suite_m_integrated_14bus_varlim0.raw,1,93.8563149,
suite_m_integrated_30bus_conservative_adjust.raw,1,7.6129832,
suite_m_integrated_30bus_flatst1.raw,1,5.3012298,
suite_m_integrated_30bus_nominal.raw,1,6.6362765,
suite_m_integrated_30bus_swsht1.raw,1,5.8967226,
suite_s_30bus_nondiv1.raw,1,5.9014467,
suite_s_30bus_pqbrak_high.raw,1,5.974153,
suite_s_40bus_dctaps0.raw,1,12.870124,
suite_s_40bus_nominal.raw,1,13.1190856,
suite_s_40bus_varlim0.raw,1,13.2972475,
suite_u_facts_3bus_local.raw,1,1.1596842,
suite_u_facts_3bus_remote.raw,1,1.2061698,
suite_u_facts_3bus_remote_limit.raw,1,1.1096126,
suite_u_genq_3bus_local_inband.raw,1,0.4360824,
suite_u_genq_3bus_qmax.raw,1,0.6004888,
suite_u_genq_3bus_qmin.raw,1,0.5591211,
suite_u_genq_3bus_qzero.raw,1,2.1319224,
suite_u_genq_3bus_slack_limit.raw,1,0.3539172,
suite_u_genq_4bus_remote_single.raw,1,0.6079186,
suite_u_genq_5bus_group_all_limited.raw,1,0.471862,
suite_u_genq_5bus_group_one_limited.raw,1,0.4579469,
suite_u_genq_5bus_remote_group.raw,1,0.4151815,
suite_u_pqbrak_3bus_basic.raw,1,0.6980764,
suite_u_swdev_3bus_closed.raw,1,0.4407642,
suite_u_swshnt_2bus_continuous_local.raw,1,1.3029955,
suite_u_swshnt_2bus_discrete_local.raw,1,0.4443697,
suite_u_swshnt_2bus_discrete_swsht1.raw,1,1.3197826,
suite_u_swshnt_3bus_remote_group.raw,1,0.3631702,
suite_u_twodc_4bus_base.raw,1,0.3634869,
suite_u_twodc_5bus_active.raw,1,2.5799499,
suite_u_ultc_2bus_actaps_off.raw,1,0.3563938,
suite_u_ultc_2bus_cod0.raw,1,0.2986024,
suite_u_ultc_2bus_cod_m1.raw,1,0.2908668,
suite_u_ultc_2bus_cont0.raw,1,0.3518148,
suite_u_ultc_2bus_cont_pos.raw,1,0.4611902,
suite_u_ultc_2bus_cw2.raw,1,0.5411863,
suite_u_ultc_2bus_local.raw,1,0.3842977,
suite_u_ultc_2bus_ntp10_inband.raw,1,0.4887559,
suite_u_ultc_2bus_ntp10_lowv.raw,1,0.4534776,
suite_u_ultc_2bus_tab.raw,1,0.4670804,
suite_u_ultc_3bus_remote.raw,1,0.3820975,
suite_u_ultc_3bus_remote_cont_pos.raw,1,0.3247769,
suite_u_ultc_3bus_remote_limit.raw,1,0.4907473,
suite_u_ultc_3w_tab.raw,1,0.6460001,
suite_u_ultc_3w_tab_cw2.raw,1,0.4344752,
suite_u_ultc_3w_w2.raw,1,0.4356215,
suite_u_ultc_3w_w2_cw2.raw,1,0.3507864,
suite_u_ultc_3w_w3.raw,1,0.4330321,
