set_name,bus_i
all_physical,10
all_physical,11
all_physical,12
all_physical,15
all_physical,19
all_physical,100
all_physical,102
all_physical,104
all_physical,106
all_physical,108
all_physical,115
all_physical,117
all_physical,118
all_physical,190
all_physical,191
all_physical,192
all_physical,193
all_physical,200
all_physical,201
all_physical,202
all_physical,203
all_physical,204
all_physical,205
all_physical,206
all_physical,207
all_physical,208
all_physical,209
all_physical,210
all_physical,211
all_physical,212
all_physical,213
all_physical,214
all_physical,215
all_physical,216
all_physical,217
all_physical,218
all_physical,219
all_physical,220
all_physical,221
all_physical,222
all_physical,223
all_physical,224
all_physical,226
all_physical,227
all_physical,230
all_physical,240
all_physical,242
all_physical,243
all_physical,244
all_physical,246
all_physical,250
all_physical,251
all_physical,252
all_physical,253
all_physical,254
all_physical,255
all_physical,256
all_physical,257
all_physical,258
all_physical,259
all_physical,261
all_physical,264
all_physical,265
all_physical,266
all_physical,268
all_physical,269
all_physical,271
all_physical,272
all_physical,273
all_physical,275
all_physical,280
all_physical,281
all_physical,282
all_physical,300
all_physical,310
all_physical,311
all_physical,315
all_physical,316
all_physical,317
all_physical,318
all_physical,320
all_physical,322
all_physical,330
all_physical,332
all_physical,334
all_physical,400
all_physical,401
all_physical,402
all_physical,403
all_physical,404
all_physical,405
all_physical,406
all_physical,407
all_physical,408
all_physical,409
all_physical,410
all_physical,411
all_physical,412
all_physical,413
all_physical,415
all_physical,416
all_physical,417
all_physical,418
all_physical,420
all_physical,422
all_physical,423
all_physical,424
all_physical,437
all_physical,438
all_physical,440
all_physical,441
all_physical,442
all_physical,444
all_physical,445
all_physical,446
all_physical,447
all_physical,448
all_physical,449
all_physical,450
all_physical,451
all_physical,453
all_physical,454
all_physical,455
all_physical,456
all_physical,457
all_physical,458
all_physical,459
all_physical,460
all_physical,461
all_physical,462
all_physical,463
all_physical,464
all_physical,465
all_physical,466
all_physical,467
all_physical,468
all_physical,470
all_physical,472
all_physical,474
all_physical,475
all_physical,476
all_physical,477
all_physical,478
all_physical,479
all_physical,480
all_physical,481
all_physical,482
all_physical,483
all_physical,484
all_physical,490
all_physical,491
all_physical,492
all_physical,493
all_physical,494
all_physical,495
all_physical,500
all_physical,501
all_physical,504
all_physical,506
all_physical,508
all_physical,510
all_physical,511
all_physical,512
all_physical,513
all_physical,514
all_physical,515
all_physical,516
all_physical,517
all_physical,518
all_physical,519
all_physical,520
all_physical,521
all_physical,522
all_physical,523
all_physical,524
all_physical,525
all_physical,526
all_physical,527
all_physical,528
all_physical,532
all_physical,533
all_physical,534
all_physical,535
all_physical,536
all_physical,537
all_physical,538
all_physical,539
all_physical,540
all_physical,541
all_physical,542
all_physical,544
all_physical,545
all_physical,546
all_physical,547
all_physical,548
all_physical,549
all_physical,550
all_physical,551
all_physical,552
all_physical,553
all_physical,554
all_physical,556
all_physical,557
all_physical,558
all_physical,559
all_physical,560
all_physical,561
all_physical,562
all_physical,563
all_physical,564
all_physical,565
all_physical,566
all_physical,567
all_physical,568
all_physical,570
all_physical,571
all_physical,572
all_physical,573
all_physical,576
all_physical,577
all_physical,578
all_physical,579
all_physical,580
all_physical,581
all_physical,582
all_physical,583
all_physical,598
all_physical,599
all_physical,601
all_physical,602
all_physical,603
all_physical,604
all_physical,605
all_physical,607
all_physical,608
all_physical,609
all_physical,618
all_physical,619
all_physical,620
all_physical,621
all_physical,622
all_physical,623
all_physical,624
all_physical,650
all_physical,651
all_physical,652
all_physical,654
all_physical,656
all_physical,657
all_physical,658
all_physical,659
all_physical,661
all_physical,662
all_physical,663
all_physical,664
all_physical,665
all_physical,670
all_physical,671
all_physical,673
all_physical,674
all_physical,675
all_physical,676
all_physical,679
all_physical,680
all_physical,684
all_physical,685
all_physical,686
all_physical,687
all_physical,688
all_physical,691
all_physical,692
all_physical,720
all_physical,721
all_physical,1008
all_physical,1226
all_physical,1804
all_physical,2206
all_physical,2208
all_physical,2222
all_physical,2302
all_physical,222201
all_physical,222202
all_physical,222231
all_physical,222232
all_physical,222291
all_physical,222292
all_physical,230201
all_physical,230231
all_physical,230291
boundary_ports,1008
boundary_ports,1226
boundary_ports,2206
boundary_ports,2208
boundary_ports,2222
boundary_ports,2302
buses_500kv,10
buses_500kv,11
buses_500kv,12
buses_500kv,15
buses_500kv,19
buses_500kv,1008
switched_shunt_buses,10
switched_shunt_buses,12
switched_shunt_buses,15
switched_shunt_buses,19
switched_shunt_buses,212
switched_shunt_buses,222
switched_shunt_buses,254
switched_shunt_buses,255
switched_shunt_buses,259
switched_shunt_buses,268
switched_shunt_buses,269
switched_shunt_buses,317
switched_shunt_buses,334
switched_shunt_buses,450
switched_shunt_buses,566
switched_shunt_buses,570
switched_shunt_buses,598
switched_shunt_buses,1008
switched_shunt_buses,2206
switched_shunt_buses,2208
switched_shunt_buses,230231
genq_generator_buses,102
genq_generator_buses,104
genq_generator_buses,106
genq_generator_buses,108
genq_generator_buses,190
genq_generator_buses,191
genq_generator_buses,192
genq_generator_buses,201
genq_generator_buses,202
genq_generator_buses,203
genq_generator_buses,204
genq_generator_buses,205
genq_generator_buses,206
genq_generator_buses,251
genq_generator_buses,252
genq_generator_buses,453
genq_generator_buses,476
genq_generator_buses,478
genq_generator_buses,491
genq_generator_buses,493
genq_generator_buses,523
genq_generator_buses,525
genq_generator_buses,536
genq_generator_buses,601
genq_generator_buses,602
genq_generator_buses,604
genq_generator_buses,605
genq_generator_buses,607
genq_generator_buses,608
genq_generator_buses,609
genq_generator_buses,618
genq_generator_buses,619
genq_generator_buses,620
genq_generator_buses,650
genq_generator_buses,651
genq_generator_buses,652
genq_generator_buses,654
genq_generator_buses,656
genq_generator_buses,657
genq_generator_buses,658
genq_generator_buses,659
genq_generator_buses,661
genq_generator_buses,662
genq_generator_buses,663
genq_generator_buses,664
genq_generator_buses,665
genq_generator_buses,670
genq_generator_buses,671
genq_generator_buses,675
genq_generator_buses,676
genq_generator_buses,679
genq_generator_buses,680
genq_generator_buses,684
genq_generator_buses,685
genq_generator_buses,686
genq_generator_buses,687
genq_generator_buses,688
genq_generator_buses,691
genq_generator_buses,692
genq_regulated_buses,102
genq_regulated_buses,104
genq_regulated_buses,106
genq_regulated_buses,108
genq_regulated_buses,201
genq_regulated_buses,202
genq_regulated_buses,203
genq_regulated_buses,204
genq_regulated_buses,205
genq_regulated_buses,206
genq_regulated_buses,251
genq_regulated_buses,252
genq_regulated_buses,259
genq_regulated_buses,453
genq_regulated_buses,476
genq_regulated_buses,478
genq_regulated_buses,491
genq_regulated_buses,493
genq_regulated_buses,523
genq_regulated_buses,525
genq_regulated_buses,536
genq_regulated_buses,601
genq_regulated_buses,602
genq_regulated_buses,604
genq_regulated_buses,605
genq_regulated_buses,607
genq_regulated_buses,608
genq_regulated_buses,609
genq_regulated_buses,618
genq_regulated_buses,619
genq_regulated_buses,620
genq_regulated_buses,650
genq_regulated_buses,651
genq_regulated_buses,652
genq_regulated_buses,654
genq_regulated_buses,656
genq_regulated_buses,657
genq_regulated_buses,658
genq_regulated_buses,659
genq_regulated_buses,661
genq_regulated_buses,662
genq_regulated_buses,663
genq_regulated_buses,664
genq_regulated_buses,665
genq_regulated_buses,670
genq_regulated_buses,671
genq_regulated_buses,675
genq_regulated_buses,676
genq_regulated_buses,679
genq_regulated_buses,680
genq_regulated_buses,684
genq_regulated_buses,685
genq_regulated_buses,686
genq_regulated_buses,687
genq_regulated_buses,688
genq_regulated_buses,691
genq_regulated_buses,692
ultc_terminal_buses,10
ultc_terminal_buses,12
ultc_terminal_buses,15
ultc_terminal_buses,19
ultc_terminal_buses,100
ultc_terminal_buses,102
ultc_terminal_buses,104
ultc_terminal_buses,106
ultc_terminal_buses,108
ultc_terminal_buses,115
ultc_terminal_buses,117
ultc_terminal_buses,190
ultc_terminal_buses,191
ultc_terminal_buses,192
ultc_terminal_buses,200
ultc_terminal_buses,207
ultc_terminal_buses,208
ultc_terminal_buses,209
ultc_terminal_buses,210
ultc_terminal_buses,211
ultc_terminal_buses,212
ultc_terminal_buses,213
ultc_terminal_buses,216
ultc_terminal_buses,218
ultc_terminal_buses,219
ultc_terminal_buses,220
ultc_terminal_buses,221
ultc_terminal_buses,222
ultc_terminal_buses,223
ultc_terminal_buses,224
ultc_terminal_buses,226
ultc_terminal_buses,240
ultc_terminal_buses,242
ultc_terminal_buses,244
ultc_terminal_buses,246
ultc_terminal_buses,250
ultc_terminal_buses,251
ultc_terminal_buses,253
ultc_terminal_buses,254
ultc_terminal_buses,255
ultc_terminal_buses,256
ultc_terminal_buses,257
ultc_terminal_buses,258
ultc_terminal_buses,259
ultc_terminal_buses,261
ultc_terminal_buses,264
ultc_terminal_buses,265
ultc_terminal_buses,266
ultc_terminal_buses,271
ultc_terminal_buses,272
ultc_terminal_buses,275
ultc_terminal_buses,280
ultc_terminal_buses,311
ultc_terminal_buses,315
ultc_terminal_buses,330
ultc_terminal_buses,332
ultc_terminal_buses,334
ultc_terminal_buses,400
ultc_terminal_buses,401
ultc_terminal_buses,402
ultc_terminal_buses,403
ultc_terminal_buses,405
ultc_terminal_buses,406
ultc_terminal_buses,407
ultc_terminal_buses,408
ultc_terminal_buses,409
ultc_terminal_buses,410
ultc_terminal_buses,412
ultc_terminal_buses,413
ultc_terminal_buses,415
ultc_terminal_buses,416
ultc_terminal_buses,417
ultc_terminal_buses,420
ultc_terminal_buses,422
ultc_terminal_buses,423
ultc_terminal_buses,424
ultc_terminal_buses,437
ultc_terminal_buses,438
ultc_terminal_buses,444
ultc_terminal_buses,446
ultc_terminal_buses,449
ultc_terminal_buses,451
ultc_terminal_buses,453
ultc_terminal_buses,458
ultc_terminal_buses,460
ultc_terminal_buses,461
ultc_terminal_buses,462
ultc_terminal_buses,464
ultc_terminal_buses,466
ultc_terminal_buses,468
ultc_terminal_buses,470
ultc_terminal_buses,472
ultc_terminal_buses,477
ultc_terminal_buses,478
ultc_terminal_buses,479
ultc_terminal_buses,484
ultc_terminal_buses,490
ultc_terminal_buses,491
ultc_terminal_buses,492
ultc_terminal_buses,493
ultc_terminal_buses,494
ultc_terminal_buses,495
ultc_terminal_buses,500
ultc_terminal_buses,501
ultc_terminal_buses,504
ultc_terminal_buses,508
ultc_terminal_buses,510
ultc_terminal_buses,511
ultc_terminal_buses,512
ultc_terminal_buses,513
ultc_terminal_buses,514
ultc_terminal_buses,515
ultc_terminal_buses,516
ultc_terminal_buses,517
ultc_terminal_buses,519
ultc_terminal_buses,520
ultc_terminal_buses,521
ultc_terminal_buses,522
ultc_terminal_buses,524
ultc_terminal_buses,526
ultc_terminal_buses,528
ultc_terminal_buses,532
ultc_terminal_buses,533
ultc_terminal_buses,534
ultc_terminal_buses,535
ultc_terminal_buses,536
ultc_terminal_buses,537
ultc_terminal_buses,540
ultc_terminal_buses,541
ultc_terminal_buses,542
ultc_terminal_buses,545
