case_name,success,seconds,error,max_dVM,max_dVA,buses_compared,voltage_review
suite_i_facts_4bus_remote_group.raw,1,9.8231053,,7.24228420767581e-05,0.000312682286984334,4,0
suite_i_facts_pqbrak_remote_limit.raw,1,4.6558158,,0.000658245424673742,0.0426815828461802,3,0
suite_i_genq_flatst1_qmax.raw,1,1.2650133,,2.56058122248826e-05,0.000545543556599526,3,0
suite_i_genq_nondiv1_qmin.raw,1,0.6235323,,7.3218344506687e-05,0.00222360142160571,3,0
suite_i_genq_varlim0_remote_group.raw,1,1.1412038,,7.75627732019224e-05,0.000482820442689158,5,0
suite_i_pqbrak_genq_remote_single.raw,1,1.4962797,,6.70613147870647e-05,0.000363106443140471,4,0
suite_i_solver_all_options_3bus.raw,1,0.2817931,,2.60883190187355e-05,0.0010453796430685,3,0
suite_i_swdev_open_parallel_pqbrak.raw,1,1.029702,,4.38829729288992e-05,0.00409740178220019,3,0
suite_i_swdev_tight_thrshz_closed.raw,1,0.3486931,,8.78911881577737e-05,0.00749266928836789,3,0
suite_i_swshnt_flatst1_continuous.raw,1,1.6846355,,1.9112312275027e-06,3.94406143540138e-05,2,0
suite_i_swshnt_pqbrak_remote_group.raw,1,1.2433297,,0.00044205178856116,0.0255327300582131,3,0
suite_i_twodc_dctaps0_active.raw,1,2.7934505,,6.24477589228345e-06,4.64703273834743e-05,5,0
suite_i_twodc_varlim1_loss.raw,1,2.0781569,,8.78828482397953e-05,0.000564645256364571,4,0
suite_i_ultc_10bus_sign_matrix.raw,1,1.1848875,,1.62051387174733e-05,0.000290600428457743,11,0
suite_i_ultc_multi_2w_shared.raw,1,0.4686403,,9.63725452651776e-06,0.000377738655434001,4,0
suite_i_ultc_multi_3w_cw2_shared.raw,1,0.5061492,,3.95345570654015e-05,0.00142908264570352,8,0
suite_i_ultc_nondiv1_local.raw,1,0.7870306,,1.57416920695264e-05,0.000406514969176541,2,0
suite_i_ultc_varlim1_remote_limit.raw,1,0.530868,,1.75067955426877e-05,0.00112831200725161,3,0
suite_m_integrated_14bus_dctaps0.raw,1,109.1911903,,0.00682409606898582,0.871790538490595,14,1
suite_m_integrated_14bus_flatst1.raw,1,91.6907488,,0.00679537261001273,0.871516451064791,14,1
suite_m_integrated_14bus_nominal.raw,1,83.7409425,,0.00679537261001228,0.871516451064798,14,1
