bus_i,base_kv,bus_type,physical
10,500,1,1
11,500,1,1
12,500,1,1
15,500,1,1
19,500,1,1
100,330,1,1
102,13.8,2,1
104,13.8,2,1
106,13.8,2,1
108,13.8,2,1
115,220,1,1
117,220,1,1
118,220,1,1
190,10.5,2,1
191,10.5,2,1
192,10.5,2,1
193,132,1,1
200,330,1,1
201,13.2,4,0
202,13.2,4,0
203,13.2,4,0
204,13.2,4,0
205,11,4,0
206,11,4,0
207,11,2,1
208,11,2,1
209,11,2,1
210,330,1,1
211,330,1,1
212,33,1,1
213,330,1,1
214,33,4,0
215,132,4,0
216,33,1,1
217,33,1,1
218,33,1,1
219,13.2,2,1
220,132,1,1
221,132,1,1
222,33,1,1
223,132,1,1
224,330,1,1
226,132,1,1
227,33,1,1
230,132,1,1
240,132,1,1
242,13.2,2,1
243,132,1,1
244,33,1,1
246,132,1,1
250,132,1,1
251,13.2,2,1
252,13.2,4,0
253,132,1,1
254,33,1,1
255,33,1,1
256,33,1,1
257,33,1,1
258,132,1,1
259,132,1,1
261,132,1,1
264,132,1,1
265,33,1,1
266,132,1,1
268,132,1,1
269,132,1,1
271,132,1,1
272,132,1,1
273,132,1,1
275,132,1,1
280,13.2,1,1
281,13.2,1,1
282,13.2,1,1
300,132,1,1
310,132,1,1
311,132,1,1
315,132,1,1
316,132,4,0
317,132,4,0
318,132,4,0
320,132,1,1
322,132,1,1
330,132,1,1
332,13.2,1,1
334,33,1,1
400,132,1,1
401,132,1,1
402,132,1,1
403,132,1,1
404,132,1,1
405,132,1,1
406,13.2,2,1
407,33,1,1
408,10.4,1,1
409,10.4,2,1
410,66,2,1
411,132,1,1
412,132,1,1
413,33,1,1
415,13.2,1,1
416,66,1,1
417,35,1,1
418,35,1,1
420,33,2,1
422,13.8,2,1
423,35,1,1
424,35,1,1
437,13.8,2,1
438,13.8,2,1
440,132,2,1
441,132,1,1
442,132,2,1
444,132,2,1
445,132,2,1
446,132,1,1
447,132,4,0
448,132,2,1
449,132,1,1
450,132,2,1
451,33,1,1
453,0.4,2,1
454,132,1,1
455,132,1,1
456,132,1,1
457,132,1,1
458,132,1,1
459,132,2,1
460,132,1,1
461,132,1,1
462,35,1,1
463,35,2,1
464,13.8,2,1
465,132,1,1
466,10.5,2,1
467,132,1,1
468,10.5,2,1
470,132,1,1
472,35,1,1
474,35,1,1
475,35,4,0
476,0.4,4,0
477,35,1,1
478,0.4,2,1
479,33,1,1
480,132,1,1
481,132,4,0
482,132,4,0
483,132,1,1
484,33,1,1
490,132,1,1
491,11.5,2,1
492,11.5,2,1
493,11.5,2,1
494,132,1,1
495,132,1,1
500,33,1,1
501,33,1,1
504,33,1,1
506,33,4,0
508,33,1,1
510,33,1,1
511,33,1,1
512,33,1,1
513,33,1,1
514,13.2,1,1
515,13.2,1,1
516,13.2,1,1
517,33,1,1
518,33,4,0
519,33,1,1
520,33,1,1
521,33,1,1
522,33,1,1
523,11,4,0
524,33,1,1
525,11,4,0
526,33,1,1
527,33,1,1
528,33,1,1
532,33,1,1
533,33,1,1
534,33,1,1
535,36.7,1,1
536,11,2,1
537,6.6,1,1
538,33,1,1
539,33,1,1
540,33,1,1
541,33,1,1
542,33,1,1
544,33,1,1
545,33,1,1
546,33,1,1
547,33,4,0
548,13.2,4,0
549,33,1,1
550,33,1,1
551,33,1,1
552,33,1,1
553,33,1,1
554,33,1,1
556,33,1,1
557,13.2,1,1
558,33,1,1
559,33,1,1
560,33,1,1
561,33,1,1
562,33,1,1
563,33,1,1
564,33,1,1
565,33,1,1
566,33,1,1
567,33,1,1
568,33,1,1
570,33,1,1
571,33,1,1
572,33,1,1
573,33,1,1
576,33,4,0
577,33,4,0
578,33,1,1
579,33,1,1
580,33,1,1
581,33,4,0
582,33,4,0
583,33,1,1
598,33,1,1
599,33,1,1
601,0.7,2,1
602,0.6,2,1
603,0.7,4,0
604,6,2,1
605,0.7,2,1
607,10.4,2,1
608,0.7,2,1
609,0.7,2,1
618,0.4,2,1
619,11,2,1
620,6.3,2,1
621,0.9,4,0
622,0.9,4,0
623,0.9,4,0
624,0.9,4,0
650,0.7,2,1
651,0.7,2,1
652,0.6,2,1
654,0.7,2,1
656,0.7,2,1
657,0.7,2,1
658,0.7,2,1
659,0.4,2,1
661,11,2,1
662,11,2,1
663,0.4,2,1
664,0.58,2,1
665,0.7,2,1
670,10.5,4,0
671,10.5,4,0
673,13.2,4,0
674,13.2,4,0
675,0.69,2,1
676,0.69,2,1
679,0.7,2,1
680,0.7,2,1
684,0.7,2,1
685,0.7,2,1
686,0.7,2,1
687,0.6,2,1
688,0.7,2,1
691,0.7,2,1
692,0.7,2,1
720,132,1,1
721,132,1,1
1008,500,1,1
1226,132,1,1
1804,13.2,1,1
2206,132,1,1
2208,132,1,1
2222,132,1,1
2302,132,1,1
222201,1,1,1
222202,1,1,1
222231,33,1,1
222232,33,1,1
222291,13.2,1,1
222292,13.2,1,1
230201,1,1,1
230231,33,1,1
230291,13.2,1,1
1000001,1,1,0
1000002,1,1,0
1000003,1,1,0
1000004,1,1,0
1000005,1,1,0
1000006,1,1,0
1000007,1,1,0
1000008,1,1,0
1000009,1,1,0
1000011,1,1,0
1000012,1,1,0
1000014,1,1,0
1000015,1,1,0
1000016,1,1,0
1000017,1,1,0
1000018,1,1,0
1000019,1,1,0
1000020,1,1,0
1000021,1,1,0
1000022,1,1,0
1000023,1,1,0
1000024,1,1,0
1000025,1,1,0
1000026,1,1,0
1000027,1,1,0
1000028,1,1,0
1000029,1,1,0
1000030,1,1,0
1000031,1,1,0
1000032,1,1,0
1000033,1,1,0
1000034,1,1,0
1000035,1,1,0
1000039,1,1,0
1000121,1,1,0
1000122,1,1,0
1000196,1,1,0
901008,500,3,0
901226,132,3,0
902206,132,3,0
902208,132,3,0
902222,132,3,0
902302,132,3,0
