gen_row,bus,bus_name,status,PG,QG,MBASE,Smax,gen_type_code,gen_type,enforce,classification_rule
1,102,FUTAHI01    ,1,110,-3.06269393,140,140,1,hydraulic,1,known_hydro_bus_name
2,104,FUTAHI02    ,1,110,-3.06269393,140,140,1,hydraulic,1,known_hydro_bus_name
3,106,FUTAHI03    ,1,110,-3.06269393,140,140,1,hydraulic,1,known_hydro_bus_name
4,108,FUTAHI04    ,1,110,-3.06269393,140,140,1,hydraulic,1,known_hydro_bus_name
5,190,ALTG09CC    ,1,150,67.0777766,184.5,184.5,2,thermal,1,default_physical_thermal
6,191,ALTG10CC    ,1,150,67.0777766,184.5,184.5,2,thermal,1,default_physical_thermal
7,192,ALTV11CC    ,1,140,67.0866531,190.8,190.8,2,thermal,1,default_physical_thermal
8,201,AL-FIAT1    ,1,0,0,39.5,39.5,2,thermal,1,default_physical_thermal
9,202,AL-FIAT2    ,1,0,0,39.5,39.5,2,thermal,1,default_physical_thermal
10,203,AL-FIAT3    ,1,0,0,39.5,39.5,2,thermal,1,default_physical_thermal
11,204,AL-FIAT4    ,1,0,0,39.5,39.5,2,thermal,1,default_physical_thermal
12,205,ALUATG05    ,1,0,0,45.4,45.4,2,thermal,1,default_physical_thermal
13,206,ALUATG06    ,1,0,0,45.4,45.4,2,thermal,1,default_physical_thermal
14,207,ALUATG07    ,0,0,0,48.24,48.24,2,thermal,1,default_physical_thermal
15,208,ALUATG08    ,0,0,0,48.2,48.2,2,thermal,1,default_physical_thermal
16,209,ALUATV01    ,0,0,0,50.35,50.35,2,thermal,1,default_physical_thermal
17,219,AEG         ,0,0,0,31.5,31.5,2,thermal,1,default_physical_thermal
18,219,AEG         ,0,0,0,31.5,31.5,2,thermal,1,default_physical_thermal
19,242,TREW13.2    ,0,0,0,0.543,0.543,2,thermal,1,default_physical_thermal
20,242,TREW13.2    ,0,0,0,0.815,0.815,2,thermal,1,default_physical_thermal
21,242,TREW13.2    ,0,0,0,1.087,1.087,2,thermal,1,default_physical_thermal
22,242,TREW13.2    ,0,0,0,12.19,12.19,2,thermal,1,default_physical_thermal
23,251,AMEGHI01    ,1,10,2.84205128,29.2,29.2,1,hydraulic,1,known_hydro_bus_name
24,252,AMEGHI02    ,1,0,0,29.2,29.2,1,hydraulic,1,known_hydro_bus_name
25,406,CRIVTG26    ,0,0,0,32.25,32.25,2,thermal,1,default_physical_thermal
26,406,CRIVTG26    ,0,0,0,22,22,2,thermal,1,default_physical_thermal
27,409,CRIVTG21    ,0,0,0,22.5,22.5,2,thermal,1,default_physical_thermal
28,410,C.RIV.A1    ,0,0,0,0.814,0.814,2,thermal,1,default_physical_thermal
29,410,C.RIV.A1    ,0,0,0,1.22,1.22,2,thermal,1,default_physical_thermal
30,410,C.RIV.A1    ,0,0,0,1.627,1.627,2,thermal,1,default_physical_thermal
31,410,C.RIV.A1    ,0,0,0,28,28,2,thermal,1,default_physical_thermal
32,420,C.RIV.A1    ,0,0,0,1.201,1.201,2,thermal,1,default_physical_thermal
33,420,C.RIV.A1    ,0,0,0,1.801,1.801,2,thermal,1,default_physical_thermal
34,420,C.RIV.A1    ,0,0,0,2.402,2.402,2,thermal,1,default_physical_thermal
35,420,C.RIV.A1    ,0,0,0,34.73,34.73,2,thermal,1,default_physical_thermal
36,422,CRIVTG23    ,0,0,0,26.15,26.15,2,thermal,1,default_physical_thermal
37,437,CRIVTG78    ,0,0,0,30.4,30.4,2,thermal,1,default_physical_thermal
38,437,CRIVTG78    ,0,0,0,30.4,30.4,2,thermal,1,default_physical_thermal
39,438,CRIVTV25    ,0,0,0,28,28,2,thermal,1,default_physical_thermal
40,440,VHERM132    ,0,0,0,0.596,0.596,2,thermal,1,default_physical_thermal
41,440,VHERM132    ,0,0,0,0.894,0.894,2,thermal,1,default_physical_thermal
42,440,VHERM132    ,0,0,0,1.192,1.192,2,thermal,1,default_physical_thermal
43,440,VHERM132    ,0,0,0,20.7,20.7,2,thermal,1,default_physical_thermal
44,442,CNEGR132    ,0,0,0,0.164,0.164,2,thermal,1,default_physical_thermal
45,442,CNEGR132    ,0,0,0,0.246,0.246,2,thermal,1,default_physical_thermal
46,442,CNEGR132    ,0,0,0,0.327,0.327,2,thermal,1,default_physical_thermal
47,442,CNEGR132    ,0,0,0,6.32,6.32,2,thermal,1,default_physical_thermal
48,444,PAMCA132    ,0,0,0,0.555,0.555,2,thermal,1,default_physical_thermal
49,444,PAMCA132    ,0,0,0,0.832,0.832,2,thermal,1,default_physical_thermal
50,444,PAMCA132    ,0,0,0,1.109,1.109,2,thermal,1,default_physical_thermal
51,444,PAMCA132    ,0,0,0,13.1,13.1,2,thermal,1,default_physical_thermal
52,445,TORDI132    ,0,0,0,0.44,0.44,2,thermal,1,default_physical_thermal
53,445,TORDI132    ,0,0,0,0.66,0.66,2,thermal,1,default_physical_thermal
54,445,TORDI132    ,0,0,0,0.88,0.88,2,thermal,1,default_physical_thermal
