path_group,files,bytes
.codex,2,6605
.codex_tmp,16,1687279
.tmp_codex,12,3187363
AGENTS.md,1,1428
Codex-Sessions/PROYECTO FINAL DE CARRERA - MATPOWER,1,4378228
ESTADO_PROYECTO_2026-09-10.md,1,16192
Matpower Manuals,3,4333718
PSSE,8,8232412
PSSE/CW2_AUDIT,62,619525
PSSE/DOCS,7324,190290687
PSSE/FACTS,20,192225
PSSE/INTEGRADO,13,324787
PSSE/MAG,20,80921
PSSE/QGEN,45,463799
PSSE/RAW,23,60304
PSSE/SHUNTS,18,170569
PSSE/SOLVED,73,350251
PSSE/SOLVED_MULTI_XFMR_SETTLING,10,123904
PSSE/SOLVED_NTP10_VERIFY,10,104985
PSSE/SOLVED_ULTC_10BUS_SIGN,5,91192
PSSE/SOLVER,75,750213
PSSE/SWDEVICE,15,146400
PSSE/TOTAL,13,292224
PSSE/TWO DC,25,265001
PSSE/V26P_ACTAPS1,6,6185125
PSSE/V26P_ACTAPS1_DCTAPS0,5,2797461
PSSE/V26P_ACTAPS1_NONDIV1,5,2797469
PSSE/V26P_BASE_ACTAPS0,5,2797222
Referencias,2,2154686
auditoria_psse_matpower,28,443551
auditoria_psse_matpower/beerten_5bus,8,32937
auditoria_psse_matpower/psse_validation_cases,16,150782
auditoria_psse_matpower/psse_validation_cases_best_raw,13,292096
auditoria_psse_matpower/psse_validation_cases_cpf,3,51680
auditoria_psse_matpower/psse_validation_cases_facts,11,168966
auditoria_psse_matpower/psse_validation_cases_genq,20,404617
auditoria_psse_matpower/psse_validation_cases_integrated,11,310335
auditoria_psse_matpower/psse_validation_cases_mag,10,55360
auditoria_psse_matpower/psse_validation_cases_solver_options,63,664725
auditoria_psse_matpower/psse_validation_cases_swdev,7,126155
auditoria_psse_matpower/psse_validation_cases_twodc,11,227748
auditoria_psse_matpower/psse_validation_cases_ultc,19,72777
auditoria_psse_matpower/psse_validation_suite,424,5679281
auditoria_psse_matpower/results,2895,5079103318
auditoria_psse_matpower/tools,15,143424
auditoria_psse_matpower/transpa_reduccion,33,216763
contraste_vsc_hvdc_psse.md,1,15152
iniciar_proyecto.m,1,841
matpower,12,204429
matpower-extras,2,411
matpower-extras/.github,1,6431
matpower-extras/docs,1,2075
matpower-extras/maxloadlim,21,224471
matpower-extras/misc,7,47208
matpower-extras/reduction,21,158745
matpower-extras/sdp_pf,47,3348032
matpower-extras/se,14,299289
matpower-extras/simulink_matpower,15,131908
matpower-extras/smartmarket,11,65138
matpower-extras/state_estimator,2,15166
matpower-extras/syngrid,77,1050957
matpower/.github,1,5091
matpower/data,107,78334313
matpower/docker,17,44073
matpower/docs,2181,27244029
matpower/examples,4,348946
matpower/lib,708,5150950
matpower/mips,74,874631
matpower/most,323,10926612
matpower/mp-opt-model,577,5197525
matpower/mptest,79,174283
matpower/resources,1,833646
matpower/results,262,134968342
outputs/reanudacion_20260910,550,181020507
outputs/thesis_scope_20260910,26,862548
outputs/vsc_mtdc_dispatch_plots,36,3290093
