current_path,files,bytes,classification,proposed_destination
auditoria_psse_matpower/results/_debug_gen_cap,1,10920,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_debug_gen_cap
auditoria_psse_matpower/results/_diagnostics_smoke_25bus_export,11,17488,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_25bus_export
auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix,37,12418067,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix
auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix_fast,12,8728118,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix_fast
auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix_final,26,10806482,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_nowindfix_final
auditoria_psse_matpower/results/_diagnostics_smoke_public_fast,26,8767425,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_public_fast
auditoria_psse_matpower/results/_diagnostics_smoke_vsc_export,18,14651,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_vsc_export
auditoria_psse_matpower/results/_diagnostics_smoke_vsc_input,1,12586,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_diagnostics_smoke_vsc_input
auditoria_psse_matpower/results/_tmp_redispatch_probe,1,10920,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/_tmp_redispatch_probe
auditoria_psse_matpower/results/beerten5_ac_only_no_actaps_no_swshnt_no_caps_nose_pv,9,8241016,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/beerten5_ac_only_no_actaps_no_swshnt_no_caps_nose_pv
auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_no_actaps_no_swshnt_no_devices_no_caps_nose_pv,9,7291643,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_no_actaps_no_swshnt_no_devices_no_caps_nose_pv
auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_removed_ultc_swshunt_no_caps_full_pv,9,7339605,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_removed_ultc_swshunt_no_caps_full_pv
auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_removed_ultc_swshunt_no_caps_nose_pv,9,7255156,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/beerten5_ac_only_no_hvdc_removed_ultc_swshunt_no_caps_nose_pv
auditoria_psse_matpower/results/control_order_experiments,11,182151,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/control_order_experiments
auditoria_psse_matpower/results/cpf_14bus_20260528,6,503841,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/cpf_14bus_20260528
auditoria_psse_matpower/results/cpf_25bus_genq_only,18,1733765,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/cpf_25bus_genq_only
auditoria_psse_matpower/results/cpf_25bus_genq_ultc_swshunt,13,1395273,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/cpf_25bus_genq_ultc_swshunt
auditoria_psse_matpower/results/cpf_large_raw_20260528,19,683137077,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/cpf_large_raw_20260528
auditoria_psse_matpower/results/gen_capability_smoke,1,10920,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/gen_capability_smoke
auditoria_psse_matpower/results/large_raw_control_ablation,8,15767,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/large_raw_control_ablation
auditoria_psse_matpower/results/multi_xfmr_settling,4,5861,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/multi_xfmr_settling
auditoria_psse_matpower/results/pdf_references,1,116113,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/pdf_references
auditoria_psse_matpower/results/psse_40bus_ablation_runner,15,628324,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_ablation_runner
auditoria_psse_matpower/results/psse_40bus_control_order_shadow,7,799985,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_control_order_shadow
auditoria_psse_matpower/results/psse_40bus_genq_architecture_design,1,26855,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_architecture_design
auditoria_psse_matpower/results/psse_40bus_genq_damped_shadow,19,842962,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_damped_shadow
auditoria_psse_matpower/results/psse_40bus_genq_handoff_frontier,281,15611989,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_handoff_frontier
auditoria_psse_matpower/results/psse_40bus_genq_pattern_ladder,29,893850,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_pattern_ladder
auditoria_psse_matpower/results/psse_40bus_genq_prepare_shadow,8,183973,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_prepare_shadow
auditoria_psse_matpower/results/psse_40bus_genq_q_support_sweep,53,2565963,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_q_support_sweep
auditoria_psse_matpower/results/psse_40bus_genq_trace_shadow,115,5480407,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_genq_trace_shadow
auditoria_psse_matpower/results/psse_40bus_psse_final_restart,29,990002,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_psse_final_restart
auditoria_psse_matpower/results/psse_40bus_runpf_wrapper_split,37,1051433,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_runpf_wrapper_split
