lambda,V5,V7,V3,tap9,B5,Qshunt5,Pg1,Pg2,Pg2_requested,Qg2,Qc2,C2mode,C2Vdc,Ic1,Ic2,Ic3,Uc1,Uc2,Uc3,AC_error_MVA,DC_error_MW,bridge_error_MW,station_U_error_pu,station_I_error_pu,station_S_error_MVA,loss_error_MW,PQ_schedule_error,cap_margin_MVA,bus6_type,Pload5,Qload5
0,0.995073382098997,0.981252420237628,1,1.01111111111111,0,0,133.563498005811,40,40,-15.3071800343018,0.585082359325398,2,1,0.477935665002906,0.138215230151095,0.236869224557431,0.989666276775489,1.00026309598062,0.997458068723197,2.21339838927532e-10,5.75539615965681e-13,6.10844708148761e-13,8.72635297355373e-14,1.30784272300843e-13,2.18630319356842e-10,0,1.84804171965425e-10,78.769167767047,2,60,10
0.0459894557630017,0.989783603540693,0.980661029306424,1,1.01111111111111,0,0,133.916309339386,51.0374693831204,51.0374693831204,-15.1546202806043,2.94369938073493,2,1,0.478172917965708,0.139536683014255,0.238135143431645,0.98915943822933,1.00118999677761,0.992182095440128,2.77564318286236e-10,1.02318153949454e-12,5.12034858957122e-13,4.59632332194815e-14,4.96658270066064e-13,1.14817050122321e-10,0,7.08482161826396e-11,78.6943062023343,2,71.0374693831204,11.8395782305201
0.0918088752483343,0.984336031250622,0.980041921025164,1,1.01111111111111,0,0,134.367311295025,62.0341300596002,62.0341300596002,-14.8312386261906,5.43227548552929,2,1,0.478436057246167,0.14280172501626,0.239453045415948,0.988597878716733,1.00216796694862,0.986748913278788,4.67289950158792e-10,1.54187773659942e-12,8.82849349181924e-13,1.23345778035855e-13,1.33687505510238e-12,3.0027819901109e-10,2.22044604925031e-16,2.90711454908887e-10,78.6113634436925,2,82.0341300596002,13.6723550099334
0.137426888662866,0.978728449300455,0.979394739081431,1,1.01111111111111,0,0,134.918462987484,72.9824532790879,72.9824532790879,-14.3361819256075,8.05255853426431,2,1,0.478725443025632,0.148176615761906,0.240824981192646,0.987981009609025,1.00319769309631,0.981156331019902,8.72622394205787e-11,8.02913291408913e-13,4.26991775270835e-13,9.29256671611256e-14,9.62507851198779e-13,2.26278736471551e-10,0,1.76129333340214e-10,78.5202529400914,2,92.9824532790879,15.4970755465146
0.182808051541261,0.972826907628519,0.978684124335507,1,1.01111111111111,0,0,139.534603950017,80,83.8739323699027,-13.0875248533822,11.0684093183736,2,1,0.4791266076256,0.15655660503041,0.242285918025138,0.987127081838821,1.00438286742876,0.975270784180118,1.31818773836973e-08,5.15434805947734e-10,4.22891277551685e-10,1.04694031222152e-13,6.55531184889924e-13,2.58725251008445e-10,0,5.10951281285088e-10,78.3941319193859,2,103.873932369903,17.3123220616504
0.222647405494163,0.967269827707339,0.977977016120574,1,1.01111111111111,0,0,149.994670310316,80,93.4353773185992,-10.9542964051391,14.2675570931892,2,1,0.479638125609381,0.167632175690665,0.243677879371214,0.986040295278006,1.00564007087732,0.969728965223915,2.42492380195696e-10,1.34292577058659e-12,7.8026474170656e-13,9.86988268891764e-14,5.92276228061905e-13,2.39660697196535e-10,0,2.51018761332489e-10,78.2336232143859,2,113.435377318599,18.9058962197665
0.262141586638928,0.961599006944705,0.977249320567835,1,1.01111111111111,0,0,160.473085871909,80,102.913980793343,-8.74851371913877,17.572683379494,2,1,0.480168188864666,0.181007079552044,0.24511491660589,0.98491651429631,1.00693891864176,0.964073921554047,1.75018872692661e-10,8.88178419700125e-13,2.25153229393982e-13,1.20126131264442e-13,5.21277465637127e-13,2.92718470013165e-10,0,2.79564815741651e-10,78.0676560059901,2,122.913980793343,20.4856634655571
0.301258706364937,0.95581516281703,0.976501146921441,1,1.01111111111111,0,0,170.962682629646,80,112.302089527585,-6.47058954542524,20.9832590405143,2,1,0.480716817081712,0.196447153274288,0.246598159942212,0.983755945955463,1.00827920288405,0.958306385314336,1.76367322952201e-10,6.60804744256893e-13,9.72555369571637e-14,3.06421554796543e-14,3.566036355096e-13,7.4739872023434e-11,0,9.88116255484783e-11,77.8962614148708,2,132.302089527585,22.0503482545975
0.339967430319914,0.954576803015347,0.976273155685263,1,1.01111111111111,5,4.556084364275,181.334437635273,80,121.592183276779,-5.59179871081261,22.2675018093678,2,1,0.480928804718589,0.202617296242061,0.246918067022297,0.983308206056506,1.00878388293858,0.957071545964369,7.2717089214768e-07,2.0690472268825e-07,6.45463504866939e-09,3.14304138271382e-13,1.65656099948563e-11,2.41910372876223e-09,0,2.09102793746752e-07,77.8301400012999,2,141.592183276779,23.5986972127965
0.37837667861087,0.953234652232165,0.976024177209249,1,1.01111111111111,10,9.08656302216176,191.727845325252,80,130.810402866609,-4.63891695888168,23.6588830537031,2,1,0.481158876079033,0.209491459551745,0.247265726660502,0.982822711441326,1.00933066571978,0.955733222296686,7.59042722609222e-07,2.16381231155083e-07,6.49250386786093e-09,2.99316127438942e-13,1.71317959818396e-11,2.48852968178329e-09,0,2.18655301864601e-07,77.7584439990176,2,150.810402866609,25.1350671444348
0.416463567130673,0.951789736690734,0.97575447019904,1,1.01111111111111,15,13.5885555430472,202.136332331335,80,139.951256111361,-3.61279929903247,25.1561969445601,2,1,0.481406875944718,0.217088011845983,0.247641101608017,0.982299896347316,1.00991907728581,0.954292440452406,7.94155908688873e-07,2.26729575558693e-07,6.54652354548091e-09,2.95208302247829e-13,1.77155234926119e-11,2.5646646523513e-09,0,2.29117418371061e-07,77.681237772163,2,159.951256111361,26.6585426852269
0.454203953142346,0.945475324602924,0.974913229022024,1,1.01111111111111,15,13.4088538414951,212.67461390907,80,149.008948754163,-1.01514210298228,29.0339937512796,2,1,0.48203583963224,0.237579376410122,0.249294988734332,0.980976338356699,1.01144296311537,0.947996259681756,3.95353256279218e-10,6.53699316899292e-13,4.10782519111308e-13,1.31450406115619e-13,1.96068161706364e-12,3.45003216319356e-10,0,2.32950547740529e-10,77.4857877987762,2,169.008948754163,28.1681581256938
0.491408222442095,0.939053079211458,0.974052486942238,1,1.01111111111111,15,13.2273102836478,223.185826165421,80,157.937973386103,1.65093906517092,33.0123113201478,2,1,0.482683078853943,0.259594820691051,0.250999933457646,0.979617870605608,1.01300634845818,0.941592840036225,1.17808591804266e-10,4.19220214098459e-13,3.39506200930373e-13,5.91748872125208e-14,8.08131339624651e-13,1.42811776589666e-10,0,7.46958050967805e-11,77.2851904931586,2,177.937973386103,29.6563288976838
0.528038182610977,0.932526065465794,0.973172739333686,1,1.01111111111111,15,13.0440729415967,233.659857985779,80,166.729163826634,4.3836426737214,37.088629312793,2,1,0.483348294953231,0.282952438682749,0.252756753000417,0.97822540729434,1.01460824291108,0.935085258607803,3.78556298367236e-10,4.05009359383257e-13,6.25721696678738e-13,9.20374887414255e-14,3.97903932025656e-13,2.17227831517243e-10,0,1.2430767526439e-10,77.0795814758534,2,186.729163826634,31.1215273044391
0.564053640146005,0.92589817429662,0.972274609263112,1,1.01111111111111,15,12.8593114374872,244.085689989892,80,175.372873635041,7.18073224321199,41.2597940210227,2,1,0.484031082530584,0.307500824459899,0.254566071020051,0.976800084279128,1.01624740714222,0.928477416527205,8.47023949295536e-11,6.96331881044898e-13,1.83408843668076e-13,6.19504447740837e-14,5.98965321785272e-13,1.49300865504499e-10,0,4.67252903035842e-11,76.8691290964245,2,195.372873635041,32.5621456058402
0.599412656284072,0.919174193361704,0.971358858816124,1,1.01111111111111,15,12.6732179661321,254.45140304903,80,183.859037508177,10.0394992619217,45.5219617324872,2,1,0.484730918582173,0.333111742417221,0.256428283232685,0.975343278019034,1.01792233064455,0.921774109304734,2.35234217155393e-10,3.48165940522449e-13,3.96571664396106e-13,1.10800257857591e-13,1.21325172131037e-12,2.66502461705219e-10,0,2.35260699810169e-10,76.6540372189293,2,203.859037508177,33.9765062513629
0.634072043045623,0.912359839208907,0.970426394985541,1,1.01111111111111,15,12.4860071430195,264.744256194112,80,192.17729033095,12.9567437511395,49.870568108985,2,1,0.485447155676704,0.359673878863405,0.258343528798936,0.973856615535478,1.01963121971041,0.914981058657836,1.36027602363231e-10,2.46558329308755e-12,9.02389274415327e-13,3.45279360658424e-14,3.75921516138078e-13,8.58507806979489e-11,0,2.05311323497881e-10,76.4345466833272,2,212.17729033095,35.3628817218249
0.667988030721659,0.905461753749394,0.969478270327062,1,1.01111111111111,15,12.2979148125439,274.950819853648,80,200.317127373198,15.9287721481124,54.300323064917,2,1,0.486179019189863,0.387087911150364,0.260311669067715,0.972341975552392,1.02137199542549,0.908104908724593,2.83458246708259e-10,4.2632564145606e-13,8.03801469828613e-14,7.94919685631612e-14,7.01105840050786e-13,1.90671283473218e-10,4.44089209850063e-16,8.24309509539489e-11,76.2109354616712,2,220.317127373198,36.7195212288664
0.701117058879955,0.8984874659262,0.968515678355086,1,1.01111111111111,15,12.1091958963973,285.057155115448,80,208.268094131189,18.9514128095451,58.8052315792795,2,1,0.486925608785603,0.415262817407599,0.262332274332605,0.970801480658131,1.02314230185387,0.90115318755644,6.65923329494298e-11,1.98241423277068e-12,2.57127652503186e-13,7.29416527178728e-14,6.78512801499664e-13,1.73935066108204e-10,0,2.02803107640648e-10,75.9835174932143,2,228.268094131189,38.0446823551982
0.733416649226935,0.891445318917011,0.96753994361669,1,1.01111111111111,15,11.9201213492858,295.049030875022,80,216.019995814464,22.0200494583225,63.3786409402689,2,1,0.487685904315009,0.44411324938947,0.264404619547438,0.969237480323389,1.02493952460874,0.894134234239814,2.54770939718872e-10,1.03028696685215e-12,4.86499729390744e-13,7.23865412055602e-14,1.20597976049908e-12,1.94531898774686e-10,0,1.57825752467033e-10,75.7526401641121,2,236.019995814464,39.3366659690774
0.764846317813105,0.884344364164729,0.966552506552286,1,1.01111111111111,15,11.7309743164488,304.912169781093,80,223.563116275145,25.1296722626612,68.0133139992761,2,1,0.488458776190629,0.473557777224286,0.266527689830685,0.967652524928595,1.02676081964345,0.887057092952423,1.04669455087388e-10,7.31859017832903e-13,6.19504447740837e-14,1.90958360235527e-14,5.2430282337923e-13,7.06922681783565e-11,0,8.15632006379019e-11,75.5186804644411,2,243.563116275145,40.5938527125242
0.795368481557737,0.877194225227907,0.965554903527578,1,1.01111111111111,15,11.5420456315978,314.632512234189,80,230.888435573857,28.2749452821475,72.7015266365704,2,1,0.489243000020848,0.503517831200789,0.268700196167623,0.966049331445031,1.02860315155561,0.879931376950629,2.17379827670434e-10,1.10844666778576e-12,7.39852623610204e-13,6.47260023356466e-14,7.23310300543289e-13,1.44141560956808e-10,0,1.13423936909385e-10,74.4723253197732,2,250.888435573857,41.8147392623095
0.824949311630093,0.870004936720937,0.96454874278279,1,1.01111111111111,15,11.353628848782,324.196485771434,80,237.987834791222,31.4502877799292,77.4351858236416,2,1,0.490037275032211,0.533917186438674,0.270920601075867,0.964430742037849,1.03046333998586,0.872767107758429,6.20662901031195e-11,4.05009359383257e-13,8.08242361927114e-14,7.03881397612349e-14,1.30395694242225e-12,2.10608059023479e-10,0,1.19591447855782e-10,69.9124220343945,2,257.987834791222,42.9979724652037
0.853559487392844,0.862786765745057,0.963535677386763,1,1.01111111111111,15,11.1660150471722,333.591266064286,80,244.854276974283,34.649965745348,82.2059629670037,2,1,0.490840245442914,0.564681854928863,0.273187153249493,0.962799677454703,1.03233811201872,0.865574536949832,1.16080765102649e-10,1.07291953099775e-12,1.27231558622043e-13,7.04991620636974e-14,9.19986309355636e-13,1.82574969226391e-10,2.22044604925031e-16,1.53683288317552e-10,65.2977217606887,2,264.854276974283,44.1423794957138
0.881174810453076,0.855550024660269,0.962517376527738,1,1.01111111111111,15,10.9794876704428,342.805015991202,80,251.481954508738,37.8681891369089,87.0054359752849,2,1,0.491650523770362,0.595740265831014,0.275497929520923,0.961159087484105,1.03422415801317,0.858363959357437,2.44444167037479e-10,1.25055521493778e-12,6.62803145701218e-13,4.44089209850063e-15,1.45883305435746e-13,4.44862062592373e-11,0,6.57749410493125e-11,60.6389601253627,2,271.481954508738,45.246992418123
0.907776647094119,0.848304885017023,0.961495496641281,1,1.01111111111111,15,10.7943176691562,351.827090383623,80,257.866395302589,41.0992097870081,91.8252326416555,2,1,0.492466714832411,0.627023628128446,0.277850881868415,0.95951190106277,1.03611818794728,0.851145527503198,6.29598735984346e-11,6.82121026329696e-13,2.91766610871491e-13,3.96349619791181e-14,5.6799009939823e-13,9.36306460951911e-11,0,6.53130882710684e-11,55.9464557807471,2,277.866395302589,46.3110658837648
0.933352180830462,0.841061202059978,0.960471653840045,1,1.01111111111111,15,10.6107591841586,360.648196928379,80,264.004523399311,44.3374150168989,96.657168069363,2,1,0.493287439238256,0.658466385059173,0.280243886911119,0.957860978553549,1.0380169854225,0.843929076636337,8.46486691114307e-11,9.66338120633736e-13,7.88036302878936e-13,6.16173778666962e-14,5.88695758807489e-13,1.45511663116235e-10,2.22044604925031e-16,2.62403432316205e-11,51.2300422410939,2,284.004523399311,47.3340872332185
0.95789447081806,0.833828358110481,0.959447398961525,1,1.01111111111111,15,10.4290459618383,369.260507153241,80,269.894672996334,47.5774125070749,101.493369565772,2,1,0.494111355192569,0.690006684974633,0.282674795241456,0.956209068468277,1.0399174567426,0.836723968654836,1.77989163443798e-10,2.8421709430404e-13,3.20188320301895e-13,7.43849426498855e-14,1.26554322577022e-12,2.060372988546e-10,0,1.47780454540225e-10,46.4989972539949,2,289.894672996334,48.3157788327224
